docking,start,end,berth,ship
d1,2020-04-28 16:00,2020-04-28 19:00,B3,SeaTruck Power
d2,2020-04-28 16:00,2020-04-28 19:15,B1,Stena Adventurer
d3,2020-04-28 16:10,2020-04-28 19:30,B4,Norbank
d4,2020-04-28 16:15,2020-04-28 20:00,B2,Ulysses
d5,2020-04-28 22:20,2020-04-29 01:00,B2,WB Yeats
d6,2020-04-28 22:30,2020-04-29 01:20,B1,Stena Estrid
d7,2020-04-28 15:00,2020-04-29 01:30,B6,Thun Gratitude
d8,2020-04-29 03:30,2020-04-29 15:30,B3,Norbank
d9,2020-04-29 04:00,2020-04-29 07:30,B4,SeaTruck Progress
d10,2020-04-29 04:15,2020-04-29 07:15,B1,Stena Adventurer
d11,2020-04-29 04:30,2020-04-29 07:00,B2,Ulysses
d12,2020-04-29 08:15,2020-04-29 12:15,B4,Clipper Point
d13,2020-04-29 08:45,2020-04-29 11:45,B6,SeaTruck Pace
d14,2020-04-28 15:00,2020-04-29 10:15,B5,Clipper Pennant
d15,2020-04-29 10:25,2020-04-29 13:30,B2,WB Yeats
d16,2020-04-29 11:00,2020-04-29 14:00,B1,Stena Estrid
d17,2020-04-29 16:00,2020-04-29 19:30,B3,SeaTruck Power
d18,2020-04-29 16:15,2020-04-29 20:00,B1,Stena Adventurer
d19,2020-04-29 16:30,2020-04-29 20:15,B4,Norbank
d20,2020-04-29 16:45,2020-04-29 20:20,B2,Ulysses
d21,2020-04-29 22:30,2020-04-30 01:00,B2,WB Yeats
d22,2020-04-29 23:00,2020-04-30 01:25,B1,Stena Estrid
d23,2020-04-30 03:30,2020-04-30 08:10,B5,Norbank
d24,2020-04-30 04:00,2020-04-30 08:00,B3,SeaTruck Progress
d25,2020-04-30 04:30,2020-04-30 07:45,B1,Stena Adventurer
d26,2020-04-30 05:00,2020-04-30 07:00,B2,Ulysses
d27,2020-04-30 09:00,2020-04-30 12:00,B4,Clipper Point
d28,2020-04-30 10:00,2020-04-30 15:00,B5,Jork
d29,2020-04-30 10:45,2020-04-30 13:45,B2,WB Yeats
d30,2020-04-30 11:00,2020-04-30 15:00,B3,SeaTruck Pace
d31,2020-04-30 11:10,2020-04-30 14:50,B6,Epsilon
d32,2020-04-30 11:30,2020-04-30 14:00,B1,Stena Estrid
d33,2020-04-30 12:20,2020-04-30 15:00,B4,Sixtine